"linenumber","speaker","statement","time"
"695","BIDEN","I got to respond to that.","05min55sec"
"698","WALLACE","I want to move-","05min55sec"
"701","TRUMP","But those states-","05min57sec"
"704","WALLACE","Gentlemen, I want to move onto another subject.","05min58sec"
"707","TRUMP","Those states are not doing well that are shut down right now.","06min00sec"
"710","BIDEN","I got to respond to that.","06min02sec"
"713","TRUMP","He wants to shut down the whole country.","06min04sec"
"716","WALLACE","President Trump, you have begun to increasingly question the effectiveness of masks as a disease preventer. And in fact, recently you have cited the issue of waiters touching their masks and touching plates. Are you questioning the efficacy of masks?","06min04sec"
"719","TRUMP","No, I think masks are okay. You have to understand, if you look… I mean, I have a mask right here. I put a mask on when I think I need it. Tonight, as an example, everybody’s had a test and you’ve had social distancing and all of the things that you have to, but I wear masks-","06min20sec"
"722","BIDEN","Just like your rally.","06min33sec"
"725","TRUMP","… when needed. When needed, I wear masks.","06min33sec"
"728","WALLACE","Okay. Let me ask-","06min35sec"
"731","TRUMP","I don’t wear a mask like him. Every time you see him, he’s got a mask. He could be speaking 200 feet away from him and he shows up with the biggest mask I’ve ever seen. I will say this-","06min36sec"
"734","WALLACE","Vice President Biden, go ahead, sir.","06min45sec"
"737","BIDEN","Look, the way to open businesses is give them the wherewithal to be able open. We provided money, the-","06min48sec"
"740","WALLACE","But I was asking you, sir, about masks.","06min55sec"
"743","BIDEN","Well, masks make a big difference. His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we’d probably save up to 100,000 lives. It matters. It matters.","06min56sec"
"746","TRUMP","And they’ve also said the opposite. They’ve also said-","07min10sec"
"749","BIDEN","No serious person has said the opposite. No serious person.","07min12sec"
"752","WALLACE","Okay. I want to ask you-","07min14sec"
"755","TRUMP","Dr. Fauci. Dr. Fauci said the opposite.","07min17sec"
"758","BIDEN","He did not say the opposite.","07min18sec"
"761","WALLACE","I want to ask you, we’ve got a little than a minute left in this segment.","07min19sec"
"764","TRUMP","He said very strongly, “Masks are not good.” Then he changed his mind. He said, “Masks are good.”","07min22sec"
"767","WALLACE","I want to ask-","07min25sec"
"770","TRUMP","I’m okay with masks. I’m not fighting masks.","07min25sec"
"773","WALLACE","I want to ask you both about one last subject because your different approaches has even affected the way that you have campaigned. President Trump, you’re holding large rallies with crowds packed together, thousands of people.","07min27sec"
"776","TRUMP","Outside.","07min38sec"
"779","WALLACE","Outside. Yes, sir. Agreed. Vice President Biden, you are holding much smaller events with-","07min39sec"
"782","TRUMP","Because nobody will show up.","07min46sec"
"785","WALLACE","… people with masks.","07min47sec"
"788","TRUMP","Well, it’s true. Nobody shows up to his rallies.","07min47sec"
"791","WALLACE","All right. In any case, why you holding the big rallies? Why you not? You go first, sir.","07min50sec"
"794","TRUMP","Because people want to hear what I have to say. I mean-","07min56sec"
"797","WALLACE","But are not worried about us spreading disease?","07min59sec"
"800","TRUMP","… I’m doing my job as a president, and I’ll have 25, 35,000 people show up at airports. We use airports and hangers and we have a lot of people-","08min01sec"
"803","WALLACE","Are you not worried about the disease issues, sir?","08min06sec"
"806","TRUMP","Well, so far we have had no problem whatsoever. It’s outside. That’s a big difference according to the experts. We do them outside, we have tremendous crowds, as you see, and literally on 24 hours notice. And Joe does the circles and has three people someplace.","08min08sec"
"809","BIDEN","By the way, did you see one of the last big rallies he had? A reporter came up to him to ask him a question, he said, “No, no, no. Stand back, put on your mask, put on a mask. Have you been tested? I’m way far away from those other people.” That’s what he said, “I’m going to be okay.” He’s not worried about you. He’s not worried about the people out there [crosstalk 00:08:48].","08min26sec"
"812","TRUMP","We’ve had no negative effect.","08min48sec"
"815","BIDEN","No negative effect. Come on.","08min49sec"
"818","TRUMP","We’ve had no negative effect, and we’ve had 35, 40,000 people at these rallies.","08min51sec"
"821","WALLACE","All right. Do you want to just quickly finish up? Because I want to move on to our next-","08min55sec"
"824","BIDEN","Yes, I would. He’s been totally irresponsible the way in which he has handled the social distancing and people wearing masks, basically encouraged them not to. He’s a fool on this.","08min57sec"
"827","TRUMP","If you could get the crowds, you would have done the same thing. But you can’t. Nobody cares.","09min08sec"
"830","WALLACE","Gentlemen, can we move on to the-","09min12sec"
"833","TRUMP","No cares.","09min13sec"
"836","WALLACE","Gentlemen, can we move on to the economy?","09min13sec"
"839","TRUMP","Yes.","09min15sec"
"842","WALLACE","The economy is, I think it’s fair to say, recovering faster than expected from the shutdown-","09min15sec"
"845","TRUMP","Much faster.","09min22sec"
"848","WALLACE","… in the second quarter. The unemployment rate fell to 8.4% last month. The Federal Reserve says the hit to growth, which is going to be there, is not going to be nearly as big as they had expected. President Trump, you say we are in a V-shaped recovery. Vice President Biden, you say it’s more of a K-shape. What difference does that mean to the American people in terms of the economy? President Trump, in this segment you go first.","09min22sec"
"851","TRUMP","So we built the greatest economy in history. We closed it down because of the China plague. When the plague came in, we closed it down, which was very hard psychologically to do. He didn’t think we should close it down and he was wrong. Again, two million people would be dead now instead of… Still, 204,000 people is too much. One person is too much. Should have never happened from China. But what happened is we closed it down and now we’re reopening and we’re doing record business. We had 10.4 million people in a four month period that we’ve put back into the workforce. That’s a record the likes of which nobody’s ever seen before. And he wants to close down the… He will shut it down again. He will destroy this country.","09min52sec"
"854","TRUMP","A lot of people, between drugs and alcohol and depression, when you start shutting it down, you take a look at what’s happening at some of your Democrat-run states where they have these tough shutdowns. And I’m telling you it’s because they don’t want to open it. One of them came out last week, you saw that, “Oh, we’re going to open up on November 9th.” Why November 9th? Because it’s after the election. They think they’re hurting us by keeping them closed. They’re hurting people. People know what to do. They can social distance. They can wash their hands, they can wear masks. They can do whatever they want, but they got to open these states up.","10min31sec"
"857","TRUMP","When you look at North Carolina, when you look, and these governors are under siege, Pennsylvania, Michigan, and a couple of others, you got to open these states up. It’s not fair. You’re talking about almost it’s like being in prison. And you look at what’s going on with divorce, look at what’s going on with alcoholism and drugs. It’s a very, very sad thing. And he’ll close down the whole country. This guy will close down the whole country and destroy our country. Our country is coming back incredibly well, setting records as it does it. We don’t need somebody to come in and say, “Let’s shut it down.”","11min04sec"
"860","WALLACE","All right. Your two minutes, sir. We’re now moved to you. As I said, posing the question, the president says it’s a V-shape recovery, you say it’s a K-shaped recovery. What’s the difference?","11min36sec"
"863","BIDEN","The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well. Billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market. But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing? This guy paid a total of $750 in taxes.","11min48sec"
"866","TRUMP","That’s wrong.","12min17sec"
"869","WALLACE","Sir, wait. No. Sir-","12min18sec"
"872","TRUMP","[crosstalk 00:12:19].","12min18sec"
"875","WALLACE","Yeah, I understand. You’ve agreed to the two minutes, so please let him have it.","12min20sec"
"878","BIDEN","Do I get my time back? The fact is that he has in fact, worked on this in a way that he’s going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president. Fewer jobs than when he became president. First one in American history.","12min23sec"
"881","BIDEN","Secondly, the people who have lost their jobs are those people who have been on the front lines. Those people who have been saving our lives, those people who have been out there dying. People who’ve been putting themselves in the way to make sure that we could all try to make it. And the idea that he is insisting that we go forward and open when you have almost half the states in America with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more. Why is he want to open it up? Why does he take care of the… You can’t fix the economy until you fix the COVID crisis. And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety.","12min40sec"
"884","BIDEN","Schools. Why aren’t schools open? Because it costs a lot of money to open them safely. They were going to give, his administration going to give the teachers and school students masks, and then they decided no, couldn’t do that because it’s not a national emergency. Not a national emergency. They’ve done nothing to help small businesses. Nothing. They’re closing. One in six is now gone. He ought to get on the job and take care of the needs of the American people so we can open safely.","13min25sec"
"887","WALLACE","All right. Your time is up, sir. We are going to get to-","13min54sec"
"890","TRUMP","I have to respond to that.","13min56sec"
"893","WALLACE","Well, you both had two minutes, sir.","13min57sec"
"896","TRUMP","Excuse me, he made a statement.","13min59sec"
"899","WALLACE","And so did you.","14min01sec"
"902","TRUMP","No, people want their schools open. They don’t want to be shut down. They don’t want their state shut down. They want their restaurants. I look at New York. It’s so sad what’s happening in New York. It’s almost like a ghost town, and I’m not sure it can ever recover what they’ve done to New York. People want their places open. They want to get back to their lives.","14min03sec"
"905","BIDEN","People want to be safe.","14min19sec"
"908","TRUMP","They’ll be careful, but they want their schools open.","14min20sec"
"911","BIDEN","People want to be safe.","14min22sec"
"914","TRUMP","I’m the one that brought back football. By the way, I brought back Big Ten football. It was me and I’m very happy to do it-","14min23sec"
"917","WALLACE","All right. Let’s-","14min30sec"
"920","TRUMP","… and people of Ohio are very proud of me. And you know how I found out? When [crosstalk 00:14:35].","14min31sec"
"923","WALLACE","Gentlemen, we’re going to get to your economic plans going forward in a moment, but first, Mr. President, as you well know, there’s a new report that in 2016, the year you were elected president, and 2017, your first year as president, that you paid $750 a year in federal income tax each of those years. I know that you pay a lot of other taxes, but I’m asking you this specific question. Is it true that you paid $750 in federal income taxes each of those two years?","14min36sec"
"926","TRUMP","I paid millions of dollars in taxes, millions of dollars of income tax. And let me just tell you, there was a story in one of the papers that paid-","15min08sec"
"929","BIDEN","Show us your tax returns.","15min16sec"
"932","TRUMP","I paid $38 million one year, I paid $27 million one year.","15min17sec"
"935","BIDEN","Show us your tax returns.","15min24sec"
"938","TRUMP","You’ll see it as soon as it’s finished, you’ll see it. You know, if you wanted to, go to the Board of Elections. There’s 118 page or so report that says everything I have, every bank I have, I’m totally under leveraged because the assets are extremely good, and I built a great company.","15min24sec"
"941","WALLACE","Sir, I’m asking you a specific question, which is-","15min42sec"
"944","TRUMP","But let me tell you-","15min43sec"
"947","WALLACE","I understand all of that.","15min43sec"
"950","BIDEN","Release your tax return.","15min44sec"
"953","WALLACE","I understand all of that-","15min45sec"
"956","TRUMP","Let me-","15min45sec"
"959","WALLACE","No, Mr. President, I’m asking you a question. Will you tell us how much you paid in federal income taxes in 2016 and 2017?","15min47sec"
"962","TRUMP","Millions of dollars.","15min56sec"
"965","WALLACE","You paid millions of dollars in-","15min58sec"
"968","TRUMP","Millions of dollars, yes.","15min59sec"
"971","WALLACE","So not 750?","15min59sec"
"974","TRUMP","Millions of dollars. And you’ll get to see it. And you’ll get to see it.","16min00sec"
"977","BIDEN","When? Inshallah?","16min03sec"
"980","TRUMP","But let me just tell you-","16min04sec"
"983","BIDEN","In [crosstalk 00:16:04]?","16min05sec"
"986","TRUMP","Chris, let me just say something, that it was the tax laws. I don’t want to pay tax. Before I came here, I was a private developer, I was a private business people. Like every other private person, unless they’re stupid, they go through the laws, and that’s what it is. He passed a tax bill that gave us all these privileges for depreciation and for tax credits. We build the building and we get tax credits, like the hotel on Pennsylvania Avenue. Which by the way, was given to me by the Obama administration, if you can believe that. Now the man got fired right after that happened, but that’s-","16min05sec"
"989","WALLACE","Vice President Biden, you want to respond?","16min40sec"
"992","BIDEN","Yeah, I do want to respond. Look, the tax code that put him in a position that he pays less tax than on the money a school teacher makes is because of him… He says he’s smart because he can take advantage of the tax code. And he does take advantage of the tax code. That’s why I’m going to eliminate the Trump tax cuts. And I’m going to eliminate those tax cuts.","16min42sec"
"995","TRUMP","That’s okay.","17min06sec"
"998","BIDEN","And make sure that we invest in the people who in fact need the help. People out there need help.","17min07sec"
"1001","TRUMP","But why didn’t you do it over the last 25 years?","17min13sec"
"1004","BIDEN","Because you weren’t president-","17min16sec"
"1007","TRUMP","Why didn’t you do it over the last 25 years?","17min18sec"
"1010","BIDEN","Because you weren’t president and screwing things up.","17min19sec"
"1013","TRUMP","You were a Senator and [crosstalk 00:17:21]-","17min20sec"
"1016","BIDEN","You’re the worst president America has ever had. Come on.","17min21sec"
"1019","TRUMP","Hey, Joe, let me just tell you, Joe. In 47 months, I’ve done more than you’ve done in 47 years, Joe. We’ve done things that you never even thought of doing.","17min24sec"
"1022","WALLACE","Okay. Gentlemen?","17min33sec"
"1025","TRUMP","Including fixing the broken military that you gave me, including taking care of your debts.","17min33sec"
"1028","WALLACE","Mr. President, we’re talking about the economy. I’d like to ask you about your plans going forward because Mr. Vice President, your economic plan-","17min38sec"
"1031","TRUMP","He has none.","17min46sec"
"1034","WALLACE","… if you were to be elected president focuses a lot on big government, big taxes, big spending. I want to focus first on the taxes. You propose more than $4 trillion over a decade in new taxes on individuals making more than $400,000 a year.","17min47sec"
"1037","WALLACE","… on individuals making more than $400,000 a year and on corporations. President Trump says that that kind of an increase in taxes is going to hurt the economy as it’s just coming out of a recession.","18min03sec"
"1040","BIDEN","Well, just take a look at what is the analysis done by Wall Street firms, points out that my economic plan would create 7 million more jobs than his in four years, number one. And number two, it would create an additional $1 trillion in economic growth, because it would be about buying American. The federal government spends $600 billion a year on everything from ships, to steel, to buildings and the like. And under my proposal, we’re going to make sure that every penny of that has to be made by a company-","18min13sec"
"1043","WALLACE","But respectfully, sir, I’m talking about taxes, not spending.","18min50sec"
"1046","BIDEN","By the way, I’m going to eliminate a significant number of the taxes. I’m going to make the corporate tax 28%. It shouldn’t be 21%. You have 91 companies federal, I mean, the fortune 500, who don’t pay a single penny in tax making billions of dollars.","18min53sec"
"1049","TRUMP","Why didn’t you do it before, when you were vice president with Obama?","19min09sec"
"1052","BIDEN","Because you in fact passed that, that was your tax proposal.","19min12sec"
"1055","TRUMP","I got it done. And you know what happened?","19min16sec"
"1058","BIDEN","Yeah, you got it done-","19min17sec"
"1061","TRUMP","Our economy boomed like it’s never boomed before.","19min18sec"
"1064","BIDEN","The economy-","19min20sec"
"1067","WALLACE","Mr. President-","19min20sec"
"1070","BIDEN","Let me finish.","19min22sec"
"1073","WALLACE","Mr. President, let me pick up on that. You would continue your free market approach, lower taxes, more deregulation, correct?","19min23sec"
"1076","BIDEN","Not lower tax for the American people.","19min31sec"
"1079","WALLACE","But let me-","19min34sec"
"1082","TRUMP","Excuse me.","19min34sec"
"1085","WALLACE","You talk about the economy booming. It turns out that in Obama’s final three years as president more jobs were created, a million and a half more jobs, than in the first three years of your presidency.","19min34sec"
"1088","TRUMP","They had the slowest economic recovery since 1929. It was the slowest recovery. Also, they took over something that was down here. All you had to do is turn on the lights and you pick up a lot. But they had the slowest economic recovery since 1929, and let me tell you about the stock market. When the stock market goes up, that means jobs. It also means 401ks. If you got in, if you ever became president with your ideas, you want to terminate my taxes. I’ll tell you what, you’ll lose. Half of the companies that have poured in here will leave. And plenty of companies that are already here, they’ll leave for other places. [crosstalk 00:20:25] They will leave and you will have a depression, the likes of which you’ve never seen.","19min47sec"
"1091","BIDEN","Look-","20min29sec"
"1094","WALLACE","Mr. Vice President.","20min29sec"
"1097","BIDEN","… we inherited the worst recession, short of a depression in American history. I was asked to bring it back. We were able to have an economic recovery that created the jobs you’re talking about. We handed him a booming economy, he blew it.","20min30sec"
"1100","TRUMP","It wasn’t blooming.","20min44sec"
"1103","BIDEN","He blew it.","20min45sec"
"1106","TRUMP","He was in booming. It was the weakest recovery since 1929.","20min46sec"
"1109","WALLACE","Wait, wait, is it fair to say he blew it when, in fact-","20min50sec"
"1112","TRUMP","When COVID came along.","20min53sec"
"1115","WALLACE","… when there was record low unemployment before COVID.","20min54sec"
"1118","BIDEN","Yeah, because what he did, even before COVID, manufacturing went in the hole. Manufacturing went in a hole-","20min57sec"
"1121","TRUMP","Excuse me, Chris, wait.","21min04sec"
"1124","BIDEN","… number one. Number two-","21min05sec"
"1127","TRUMP","Chris.","21min06sec"
"1130","BIDEN","Number three.","21min06sec"
"1133","TRUMP","They said it would take… No, you’re on number two.","21min07sec"
"1136","BIDEN","No.","21min09sec"
"1139","TRUMP","Chris, Chris. They said it would take-","21min10sec"
"1142","BIDEN","This guy-","21min12sec"
"1145","TRUMP","… a miracle to bring back manufacturing. I brought back 700,000 jobs. They brought back nothing. They gave up on manufacturing.","21min12sec"
"1148","BIDEN","We did not. [crosstalk 00:21:21]","21min20sec"
"1151","TRUMP","… standard fare.","21min21sec"
"1154","BIDEN","I’m the guy that brought back the automobile industry.","21min22sec"
"1157","TRUMP","He totally gave up on manufacturing.","21min25sec"
"1160","WALLACE","All right, let him-","21min25sec"
"1163","BIDEN","I was asked to bring back Chrysler and General Motors. He brought them back right here in the state of Ohio and Michigan. He blew it. They’re gone. He blew it. And in fact, they’re gone-","21min25sec"
"1166","TRUMP","Ohio had the best year it’s ever had last year. Michigan had the best year they’ve ever had.","21min34sec"
"1169","BIDEN","That is not true.","21min40sec"
"1172","TRUMP","Many car companies came in from Germany, from Japan, went to Michigan, went to Ohio and they didn’t come in with you. [crosstalk 00:21:47].","21min41sec"
"1175","WALLACE","Mr. Vice President, go ahead.","21min47sec"
"1178","BIDEN","And so you take a look at what he’s actually done. He’s done very little. His trade deals are the same way. He talks about these great trade deals. He talks about the art of the deal. China’s perfected the art of the steel. We have a higher deficit with China now than we did before. We have the highest trade deficit-","21min48sec"
"1181","TRUMP","China ate your lunch- [crosstalk 00:00:22:07].","22min06sec"
"1184","BIDEN","… with Mexico.","22min08sec"
"1187","TRUMP","China ate your lunch, Joe. And no wonder your son goes in and he takes out billions of dollars. He takes out billions of dollars to manage. He makes millions of dollars. And also, while we’re at it, why is it just out of curiosity, the mayor of Moscow’s wife gave you a son three and a half million dollars?","22min09sec"
"1190","BIDEN","That is not true.","22min28sec"
"1193","TRUMP","What did he do to deserve it? What did he do with-","22min28sec"
"1196","BIDEN","None of that is true.","22min31sec"
"1199","TRUMP","… to deserve $183,000?","22min31sec"
"1202","WALLACE","Sir, you’ve asked him a question, let him answer it.","22min31sec"
"1205","BIDEN","None of that is true.","22min37sec"
"1208","TRUMP","Oh really, he didn’t get three and a half million?","22min38sec"
"1211","WALLACE","Mr. President-","22min39sec"
"1214","BIDEN","Is totally-","22min40sec"
"1217","WALLACE","Mr. President, please. You’ve asked a question- [crosstalk 00:22:41]","22min41sec"
"1220","BIDEN","Totally discredited. Totally discredited. And by the way-","22min41sec"
"1223","TRUMP","Well wait, he didn’t get three and a half million dollars, Joe?","22min45sec"
"1226","BIDEN","Mr. Vice-","22min48sec"
"1229","TRUMP","He got three and a half million-","22min48sec"
"1232","WALLACE","Mr. President.","22min49sec"
"1235","TRUMP","… dollars.","22min49sec"
"1238","BIDEN","That is not true.","22min50sec"
"1241","TRUMP","Oh, really?","22min51sec"
"1244","WALLACE","Mr. President, it’s an open discussion. Please- [crosstalk 00:22:56]","22min51sec"
"1247","TRUMP","It’s a fact.","22min56sec"
"1250","BIDEN","It is not a fact.","22min57sec"
"1253","WALLACE","Well, you have raised an issue, let the Vice President answer.","22min57sec"
"1256","BIDEN","It’s been totally discredited.","23min00sec"
"1259","TRUMP","Did Burisma pay him 183,000 a month, with no experience in energy?","23min01sec"
"1262","WALLACE","Mr. President-","23min06sec"
"1265","BIDEN","My son did nothing wrong at Barisma-","23min07sec"
"1268","TRUMP","I think he did.","23min10sec"
"1271","WALLACE","Mr. President, let him answer. [crosstalk 00:23:13].","23min10sec"
"1274","BIDEN","He doesn’t want to let me answer, because he knows I have the truth. His position has been totally thoroughly discredited-","23min11sec"
"1277","TRUMP","By who?","23min20sec"
"1280","BIDEN","And you can-","23min20sec"
"1283","TRUMP","The media.","23min20sec"
"1286","BIDEN","by everybody. Well, by the media, by our allies.","23min20sec"
"1289","TRUMP","By the media, because they refuse to talk about it-","23min23sec"
"1292","BIDEN","By the World Bank-","23min23sec"
"1295","TRUMP","… because they’re embarrassed.","23min24sec"
"1298","BIDEN","By everyone, has discredited. And matter of fact [crosstalk 00:23:30] Matter of fact-","23min27sec"
"1301","WALLACE","Mr. President, please stop.","23min30sec"
"1304","BIDEN","Even the people who testified under oath-","23min31sec"
"1307","TRUMP","So let me ask you this, Joe- [crosstalk 00:23:35].","23min33sec"
"1310","WALLACE","Go ahead, I’m listening to you.","23min36sec"
"1313","BIDEN","Even the people under-","23min37sec"
"1316","TRUMP","He got three and a half million dollars from Moscow.","23min38sec"
"1319","BIDEN","… testified under oath in his administration said I did my job and I did it very well.","23min40sec"
"1322","TRUMP","Oh, really?","23min47sec"
"1325","BIDEN","I did it honorably.","23min47sec"
"1328","TRUMP","I’d like to know who they are.","23min47sec"
"1331","BIDEN","Well, I’ll give you the list of the people who-","23min48sec"
"1334","TRUMP","I’ll fire them.","23min50sec"
"1337","WALLACE","No, no. Go ahead, sir.","23min50sec"
"1340","BIDEN","I’m sure that you’ve already fired most of them, because they did a good job.","23min51sec"
"1343","TRUMP","Some people don’t do a good job.","23min54sec"
"1346","BIDEN","Well, here’s the- [crosstalk 00:23:57]","23min55sec"
"1349","WALLACE","Go ahead. You get the- [crosstalk 00:23:57] Wait a minute. You get the final word, Mr.-","23min57sec"
"1352","BIDEN","Well, it’s hard to get any word in with this clown. Excuse me, this person.","23min59sec"
"1355","TRUMP","Hey, let me just tell you, Joe-","24min02sec"
"1358","BIDEN","No, no. Mr. President- [crosstalk 00:24:05]","24min03sec"
"1361","TRUMP","Three and a half million, Joe.","24min04sec"
"1364","BIDEN","That is simply not true.","24min06sec"
"1367","TRUMP","Why did he deserve three and a half million from Moscow?","24min07sec"
"1370","BIDEN","Look, here’s the deal. We want to talk about families and ethics. I don’t want to do that. I mean, his family, we could talk about all night. His family’s already-","24min09sec"
"1373","TRUMP","My family-","24min19sec"
"1376","WALLACE","No, no- [crosstalk 00:06:20].","24min20sec"
"1379","TRUMP","My family lost a fortune by coming down and helping us with governance.","24min20sec"
"1382","BIDEN","And that’s such a- [crosstalk 00:24:25]","24min24sec"
"1385","WALLACE","Mr. President-","24min25sec"
"1388","TRUMP","Every single one of them lost a fortune-","24min26sec"
"1391","BIDEN","This is not about my family or his family. It’s about your family, the American people. [crosstalk 00:24:32] That’s not true. It doesn’t want to talk about what you need. You, the American people, it’s about you. That’s what we’re talking about here. [crosstalk 00:24:42]","24min27sec"
"1394","WALLACE","That’s the end of the segment. We’re moving on.","24min43sec"
"1397","BIDEN","He didn’t take that.","24min46sec"
"1400","WALLACE","Vice President-","24min47sec"
"1403","TRUMP","Chris, can I be honest? It’s a very important question-","24min47sec"
"1406","BIDEN","Try to be honest.","24min49sec"
"1409","WALLACE","No.","24min50sec"
"1412","TRUMP","He stood up-","24min50sec"
"1415","WALLACE","The answer to the question is no.","24min52sec"
"1418","TRUMP","… and the threatened Ukraine-","24min53sec"
"1421","WALLACE","Sir-","24min55sec"
"1424","TRUMP","… with a billion dollars-","24min55sec"
"1427","BIDEN","That is absolutely not true.","24min57sec"
"1430","WALLACE","Stop. [crosstalk 00:25:02] Gentlemen, I hate to raise my voice, but I- [crosstalk 00:25:05] Why should I be different than the two of you? So here’s the deal.","25min01sec"
"1433","BIDEN","That’s a good point.","25min09sec"
"1436","WALLACE","We have six segments. We have ended that segment. We’re going to go to the next segment. In that segment, you each are going to have two uninterrupted moments. In those two interrupted minutes, Mr. President, you can say anything you want. I’m going to ask a question about race, but if you want to answer about something else, go ahead. But I think that the country would be better served, if we allowed both people to speak with fewer interruptions. I’m appealing to you, sir, to do that.","25min09sec"
"1439","TRUMP","Well, and him too.","25min37sec"
"1442","WALLACE","Well, frankly, you’ve been doing more interrupting than he has.","25min38sec"
"1445","TRUMP","Well, that’s all right, but he does plenty.","25min40sec"
"1448","WALLACE","Well, sir, less than-","25min41sec"
"1451","TRUMP","He does plenty.","25min43sec"
"1454","WALLACE","No, less than you have. Let’s please continue on. The issue of rice. Vice-President Biden, you say that President Trump’s response to the violence in Charlottesville three years ago, when he talked about very fine people on both sides, was what directly led you to launch this run for president.","25min43sec"
"1457","TRUMP","Oh yeah, sure.","26min05sec"
"1460","WALLACE","President Trump, you have often said that you believe you will have done more for Black Americans than any president with the possible exception of Abraham Lincoln.","26min06sec"
"1463","TRUMP","That’s true.","26min16sec"
"1466","WALLACE","My question for the two of you, is why should voters trust you rather than your opponent to deal with the race issues facing this country over the next four years? Vice President Biden, you go first.","26min16sec"
"1469","BIDEN","It’s about equity and equality. It’s about decency. It’s about the constitution. And we have never walked away from trying to require equity for everyone, equality for the whole of America. But we’ve never accomplished it, but we’ve never walked away from it like he has done. It is true, the reason I got in the race is when those people… Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, just spewing anti-Semitic bile and accompanied by the Ku Klux Klan. A young woman got killed and they asked the president what he thought. He said, “There were very fine people on both sides.” No president’s ever said anything like that. [crosstalk 00:27:10].","26min29sec"
"1472","WALLACE","It is his-","27min11sec"
"1475","BIDEN","Now-","27min12sec"
"1478","WALLACE","… minute sir.","27min12sec"
"1481","BIDEN","… second point I’d make to you, is that when Floyd was killed, when Mr. Floyd was killed, there was a peaceful protest in front of the White House. What did he do? He came out of his bunker, had the military use tear gas on them so he could walk across to a church and hold up a Bible. And then what happened after that? The Bishop of that very church said that it was a disgrace. The general who was with him said all he ever wants to do is divide people, not unite people at all. This is a president who has used everything as a dog whistle, to try to generate racists hatred, racist division.","27min13sec"
"1484","BIDEN","This is a man who, in fact, you talk about helping African-Americans, one in 1000 African Americans has been killed because of the coronavirus. And if he doesn’t do something quickly, by the end of the year, one in 500 will have been killed. One in 500 African Americans. This man is as a savior of African-Americans? This man cares at all? This man’s done virtually nothing. Look, the fact is that you have to look at what he talks about. You have to look at what he did. And what he did has been disastrous for the African-American community.","27min50sec"
"1487","TRUMP","So-","28min27sec"
"1490","WALLACE","President Trump, you have two minutes. Why should Americans trust you over your opponent to deal race issues?","28min28sec"
"1493","TRUMP","You did a crime bill, 1994, where you call them super predators. African-Americans are super predators and they’ve never forgotten it. They’ve never forgotten it.","28min34sec"
"1496","BIDEN","I’ve never said-","28min43sec"
"1499","WALLACE","No, no, sir. It’s his two minutes.","28min44sec"
"1502","TRUMP","So you did that and they call you a super predator and I’m letting people out of jail now, that you have treated the African-American population community, you have treated the black community about as bad as anybody in this country. You did the 1990… And that’s why, if you look at the polls, I’m doing better than any Republican has done in a long time, because they saw what you did. You call them super predators, and you’ve called them worse than that. Because you look back at your testimony over the years, you’ve called them a lot worse than that. As far as the church is concerned and as far as the generals are concerned, we just got the support of 250 military leaders and generals, total support. Law enforcement, almost every law enforcement group in the United States. I have Florida. I have Texas. I have Ohio. I have every… Excuse me, Portland, the sheriff just came out today and he said, “I support President Trump.”","28min45sec"
"1505","TRUMP","I don’t think you have any law enforcement. You can’t even say the word law enforcement. Because if you say those words, you’re going to lose all of your radical left supporters. And why aren’t you saying those words, Joe? Why don’t you say the words law enforcement? Because you know what? If called us in Portland, we would put out that fire in a half an hour. But they won’t do it, because they’re run by radical left Democrats. If you look at Chicago, if you look at any place you want to look, Seattle, they heard we were coming in the following day and they put up their hands and we got back Seattle. Minneapolis, we got it back, Joe, because we believe in law and order, but you don’t. The top 10 cities and just about the top 40 cities are run by Democrats, and in many cases radical left. And they’ve got you wrapped around their finger, Joe, to a point where you don’t want to say anything about law and order. And I’ll tell you what, the people of this country want and demand law and order and you’re afraid to even say it.","29min39sec"
"1508","WALLACE","All right. I want to return to the question of race. Vice President Biden, after the grand jury in the Breonna Taylor case decided not to charge any of the police with homicide, you said it raises the question, “Whether justice could be equally applied in America.” Do you believe that there is a separate but unequal system of justice for Blacks in this country?","30min35sec"
"1511","BIDEN","Yes, there is. There’s systemic injustice in this country, in education and work and in law enforcement and the way in which it’s enforced. But look, the vast majority of police officers are good, decent, honorable men and women. They risk their lives every day to take care of us, but there are some bad apples. And when they occur, when they find them, they have to be sorted out. They have to be held accountable. They have to be held accountable. And what I’m going to do as President of the United States is call together an entire group of people at the White House, everything from the civil rights groups, to the police officers, to the police chiefs, and we’re going to work this out.","30min59sec"
"1514","BIDEN","We’re going to work this out. So we changed the way in which we have more transparency, in when these things happen. These cops aren’t happy to see what happened to George Floyd. These cops aren’t happy to see what happened to Breonna Taylor. Most don’t like it, but we have to have a system where people are held accountable when… And by the way, violence in response is never appropriate, never appropriate. Peaceful protest is, violence is never appropriate.","31min38sec"
